2005/07/01 00:01:08 YVR SA 0000  40 FEW 220 -BKN 20 154/23.7/14.0/1510G16/CU1CI1 7007 RMK CONTRAILS UNOFF
2005/07/01 01:02:20 YVR SA 0100  40 FEW 100 FEW 220 -SCT 20 151/22.7/13.1/1410/CU1AC1CI1 RMK CONTRAILS / TR AC UNOFF
2005/09/20 18:00:59 YVR SA 1800  18 -FEW 15 253/15.1/10.5/3105/CU2 2011  UNOFF
2005/09/20 19:01:06 YVR SA 1900  15 -FEW 25 -SCT 15 257/15.4/11.1/2806/CF1CU1  UNOFF
2005/09/20 20:01:07 YVR SA 2000  20 FEW 25 -FEW 20 256/16.6/11.5/2708/CF1SC1 RMK TR CF UNOFF
2005/09/20 21:00:56 YVR SA 2100  30 FEW 35 FEW 20 253/16.9/10.9/2509/CF1SC1 0000 RMK TR CF UNOFF
2005/09/20 22:00:56 YVR SA 2200  40 FEW 30 249/17.6/10.1/2713/CU1  UNOFF
2005/09/20 23:00:51 YVR SA 2300  40 FEW 30 246/17.6/7.9/2607/CU1  UNOFF

2005/09/21 00:01:12 YVR SA 0000  40 FEW 30 243/17.5/7.5/2509/CU1 7010  UNOFF
2005/09/21 01:01:30 YVR SA 0100  40 -FEW 30 242/16.4/8.6/2307/CU0  UNOFF
2005/09/21 02:02:58 YVR SA 0200  40 FEW 30 240/15.4/9.5/2715/SC1  UNOFF
2005/09/21 03:02:58 YVR SA 0300  50 FEW 30 245/14.0/9.6/2814/SC1 5002  UNOFF
2005/09/21 04:03:40 YVR SA 0400  50 FEW 30 246/14.1/9.9/2815/SC1  UNOFF
2005/09/21 05:00:36 YVR SA 0500  50 FEW 30 246/13.9/10.9/2918/SC1  UNOFF
2005/09/21 06:01:08 YVR SA 0600  50 FEW 30 251/14.1/10.5/3018/SC1 5006  UNOFF
2005/09/21 07:07:02 YVR SA 0700  60 FEW 20 255/11.8/7.9/0104/SC1  UNOFF
2005/09/21 08:00:39 YVR SA 0800  CLR 20 254/11.2/8.3/0105/  UNOFF
2005/09/21 09:03:59 YVR SA 0900  CLR 20 258/9.4/7.4/0903/ 5007  UNOFF
2005/09/21 10:01:31 YVR SA 1000  CLR 20 256/9.5/7.5/0805/  UNOFF
2005/09/21 11:01:33 YVR SA 1100  CLR 20 257/9.1/7.7/0000/  UNOFF
2005/09/21 12:03:28 YVR SA 1200  CLR 20 257/9.1/7.9/1202/ 6001  UNOFF
2005/09/21 13:02:23 YVR SA 1300  50 FEW 20 259/8.7/8.0/1102/SC1  UNOFF
2005/09/21 13:38:27 YVR SP 1337  50 FEW 20MIFG /8.2//0000/SF1  UNOFF
2005/09/21 13:56:37 YVR SP 1355  50 FEW 20 /7.9//0000/SF1  UNOFF
2005/09/21 14:01:01 YVR SA 1400  22 FEW 50 -FEW 220 -FEW 30 260/8.5/7.2/0000/SF1SF1CI0 RMK TR SF UNOFF
2005/09/21 15:00:59 YVR SA 1500  24 -BKN 220 -BKN 30 260/10.1/7.5/0000/SC4CI1 2003  UNOFF
2005/09/21 15:01:28 YVR SA 1500  24 -BKN 220 -BKN 30 260/10.1/7.5/0000/SC4CI1 0003  UNOFF
2005/09/21 16:00:52 YVR SA 1600  24 FEW 220 -SCT 30 259/12.4/8.4/0000/SC1CI1 RMK TR SC UNOFF
2005/09/21 17:01:11 YVR SA 1700  25 FEW 220 -BKN 30 256/13.6/8.7/3007/SC1CI1  UNOFF
2005/09/21 18:02:41 YVR SA 1800  35 FEW 180 -FEW 240 -BKN 30 253/14.6/7.0/2911/CF1AC1CI1 7007 RMK TR CF UNOFF
2005/09/21 19:01:48 YVR SA 1900  40 FEW 240 -SCT 30 250/14.6/9.5/3011/CF1CI1  UNOFF
2005/09/21 19:01:48 YVR SA 1900  40 FEW 240 -SCT 30 250/14.6/9.5/3011/CF1CI1 RMK TR CF UNOFF
2005/09/21 20:00:37 YVR SA 2000  40 -FEW 190 -SCT 240 -BKN 30 246/14.6/9.4/2912/CF0AC1CI1  UNOFF
2005/09/21 21:02:17 YVR SA 2100  40 -FEW 190 -FEW 240 -BKN 30 239/15.3/9.6/2911/CU0AC1CI1 0014  UNOFF
2005/09/21 22:02:04 YVR SA 2200  40 -FEW 190 -SCT 220 -BKN 30 230/16.6/9.5/3211/CU0AC1CI1  UNOFF
2005/09/21 23:01:44 YVR SA 2300  40 -FEW 190 -SCT 240 -BKN 30 222/16.0/10.4/2918/CU0AC1CI1  UNOFF

2005/09/22 00:00:59 YVR SA 0000  40 FEW 240 -BKN 30 216/15.1/10.4/2908/CU1CI1 7023  UNOFF
2005/09/22 01:00:53 YVR SA 0100  40 -FEW 240 -SCT 30 211/14.5/10.5/2810/CU0CI2  UNOFF
2005/09/22 02:01:03 YVR SA 0200  40 FEW 240 -SCT 30 205/13.4/9.8/2809/CU1CI2  UNOFF
2005/09/22 03:01:29 YVR SA 0300  40 FEW 240 -SCT 20 205/13.5/9.3/2912/CU1CI3 6011  UNOFF
2005/09/22 04:00:50 YVR SA 0400  40 FEW 240 -SCT 20 206/12.9/9.2/2808/CU1CI2  UNOFF
2005/09/22 05:01:01 YVR SA 0500  240 -SCT 20 205/13.4/8.6/2711/CI4  UNOFF
2005/09/22 06:03:20 YVR SA 0600  240 FEW 20 205/13.3/8.9/2711/CI3 0000  UNOFF
2005/09/22 07:01:08 YVR SA 0700  240 FEW 20 204/13.1/10.3/2808/CI3  UNOFF
2005/09/22 08:01:01 YVR SA 0800  240 FEW 15 203/10.6/7.4/3605/CI2  UNOFF
2005/09/22 09:01:31 YVR SA 0900  240 FEW 15 206/9.4/7.6/0203/CI3 5001  UNOFF
2005/09/22 10:01:06 YVR SA 1000  240 FEW 15 207/8.5/7.3/0303/CI2  UNOFF
2005/09/22 11:01:33 YVR SA 1100  240 FEW 15 208/8.2/6.6/0404/CI2  UNOFF
2005/09/22 12:01:36 YVR SA 1200  150 FEW 15 209/7.8/5.7/0000/AC3 2003  UNOFF
2005/09/22 13:01:02 YVR SA 1300  150 FEW 15 208/7.1/5.2/0806/AC2  UNOFF
2005/09/22 14:02:53 YVR SA 1400  35 FEW 150 FEW 20 212/8.2/5.1/0000/SF1AC1  UNOFF
2005/09/22 15:01:40 YVR SA 1500  29 SCT 220 -SCT 20 216/8.8/7.0/0602/SC4CI0 5007  UNOFF
2005/09/22 16:01:17 YVR SA 1600  M32 BKN 20 220/10.9/7.3/3403/SC6  UNOFF
2005/09/22 17:01:43 YVR SA 1700  29 FEW M34 BKN 20 225/12.4/7.3/3203/CF1SC5  UNOFF
2005/09/22 18:02:18 YVR SA 1800  30 FEW 35 FEW 30 225/13.7/8.9/2807/CU1SC1 1009  UNOFF
2005/09/22 19:02:14 YVR SA 1900  35 FEW 40 -FEW 30 223/14.2/8.7/2907/CF1CU1  UNOFF
2005/09/22 20:01:31 YVR SA 2000  35 FEW 40 -FEW 30 219/14.3/8.8/2810/CF1CU1  UNOFF
2005/09/22 21:02:12 YVR SA 2100  40 FEW 100 -FEW 30 214/14.2/8.8/2808/CU1AC0 0011 RMK TCU ASOCT UNOFF
2005/09/22 22:00:41 YVR SA 2200  40 FEW 100 -FEW 30 210/14.7/8.9/3007/CU1AC0  UNOFF
2005/09/22 22:02:07 YVR SA 2200  40 FEW 100 -FEW 30 210/14.7/8.9/3007/CU1AC0 RMK TCU ASOCT UNOFF
2005/09/22 23:01:02 YVR SA 2300  40 FEW 100 -FEW 30 203/14.9/9.5/3109/CU1AC1 RMK TCU ASOCT UNOFF

2005/09/23 00:01:32 YVR SA 0000  40 FEW 30 196/15.0/9.0/3008/CU1 7018 RMK TCU ASOCT UNOFF
2005/09/23 01:00:45 YVR SA 0100  40 FEW 30 193/14.2/10.1/3108/CU1  UNOFF
2005/09/23 02:01:01 YVR SA 0200  40 FEW 100 FEW 30 192/12.6/9.7/3103/CU2AC1  UNOFF
2005/09/23 03:01:14 YVR SA 0300  40 FEW 100 FEW 30 192/12.3/9.9/3108/CU1AC1 6004  UNOFF
2005/09/23 04:01:07 YVR SA 0400  100 FEW 30 194/11.9/9.8/3108/AC1  UNOFF
2005/09/23 05:01:06 YVR SA 0500  220 FEW 30 186/11.7/10.3/3110/CI1  UNOFF
2005/09/23 06:01:37 YVR SA 0600  220 FEW 30 195/11.4/9.2/3603/CI1 5003  UNOFF
2005/09/23 07:01:04 YVR SA 0700  220 FEW 30 199/10.5/7.9/0903/CI1  UNOFF
2005/09/23 08:01:15 YVR SA 0800  220 FEW 30 199/9.8/6.7/2802/CI1  UNOFF
2005/09/23 09:01:33 YVR SA 0900  220 FEW 30 201/8.7/6.4/0102/CI1 2006  UNOFF
2005/09/23 10:00:59 YVR SA 1000  220 FEW 30 198/8.0/6.1/0103/CI1  UNOFF
2005/09/23 11:01:17 YVR SA 1100  220 FEW 30 198/7.9/5.7/3504/CI1  UNOFF
2005/09/23 12:01:50 YVR SA 1200  220 FEW 20 198/7.5/6.1/3111/CI1 6003  UNOFF
2005/09/23 13:01:10 YVR SA 1300  220 FEW 20 201/9.1/7.5/3110/CI1  UNOFF
2005/09/23 14:01:13 YVR SA 1400  20 FEW 220 -FEW 30 203/9.1/7.0/3111/SC1CI0  UNOFF
2005/09/23 15:01:22 YVR SA 1500  20 FEW 30 207/10.3/6.9/3407/SC1 2009  UNOFF
2005/09/23 16:00:45 YVR SA 1600  20 FEW 30 208/12.1/9.7/3213G18/SC1  UNOFF
2005/09/23 17:00:03 YVR SA 1700  20 FEW 30 210/13.0/8.5/3115/CU1  UNOFF
2005/09/23 18:01:43 YVR SA 1800  20 FEW 30 209/13.8/9.8/3115/CU1 0002  UNOFF
2005/09/23 19:01:46 YVR SA 1900  20 FEW 30 206/14.3/9.4/3016/CU1  UNOFF
2005/09/23 20:01:49 YVR SA 2000  25 FEW 30 204/14.8/9.9/3018/CU1  UNOFF
2005/09/23 21:01:12 YVR SA 2100  25 FEW 220 -FEW 30 202/14.9/9.6/3014/CU1CI0 7007  UNOFF
2005/09/23 22:01:52 YVR SA 2200  35 FEW 220 -FEW 30 198/15.6/10.6/3016/CU1CI0  UNOFF
2005/09/23 23:00:40 YVR SA 2300  35 FEW 240 -FEW 30 191/15.7/10.5/2914/CU1CI0  UNOFF

2005/09/24 00:00:58 YVR SA 0000  40 FEW 230 -SCT 30 185/14.6/10.1/3013/CU1CI2 0017  UNOFF
2005/09/24 01:01:52 YVR SA 0100  230 -FEW 30 184/14.7/10.3/3010/CI1  UNOFF
2005/09/24 02:01:07 YVR SA 0200  230 FEW 30 183/13.4/10.1/3008/CI2  UNOFF
2005/09/24 03:01:28 YVR SA 0300  230 FEW 20 183/12.6/10.4/3108/CI1 6002  UNOFF
2005/09/24 04:00:53 YVR SA 0400  230 FEW 20 186/12.9/10.7/3209/CI1  UNOFF
2005/09/24 05:01:25 YVR SA 0500  230 FEW 20 188/12.6/10.4/3109/CI1  UNOFF
2005/09/24 06:02:04 YVR SA 0600  230 FEW 20 188/11.4/9.8/3108/CI1 1005  UNOFF
2005/09/24 07:00:56 YVR SA 0700  230 FEW 20 193/10.6/8.1/0105/CI1  UNOFF
2005/09/24 08:00:56 YVR SA 0800  230 -FEW 20 199/11.3/9.1/3002/CI1  UNOFF
2005/09/24 09:01:29 YVR SA 0900  230 FEW 20 202/9.3/7.5/3304/CI1 2014  UNOFF
2005/09/24 10:01:10 YVR SA 1000  230 FEW 20 205/8.5/7.1/3603/CI1  UNOFF
2005/09/24 11:01:08 YVR SA 1100  230 FEW 20 204/7.6/6.2/0403/CI1  UNOFF
2005/09/24 12:01:50 YVR SA 1200  230 FEW 20 205/8.2/6.2/0000/CI1 5003  UNOFF
2005/09/24 13:01:45 YVR SA 1300  230 FEW 30 209/6.8/5.3/0302/CI1  UNOFF
2005/09/24 14:00:50 YVR SA 1400  230 FEW 30 214/7.8/5.8/3503/CI1  UNOFF
2005/09/24 15:00:43 YVR SA 1500  230 FEW 30 216/9.8/7.3/3605/CI1 1011  UNOFF
2005/09/24 16:01:14 YVR SA 1600  20 FEW 230 -FEW 30 220/11.9/8.8/3405/SC1CI0 RMK TR SC UNOFF
2005/09/24 17:00:43 YVR SA 1700  240 -FEW 30 223/13.1/9.3/3109/CI0  UNOFF
2005/09/24 18:01:01 YVR SA 1800  240 FEW 30 220/13.6/9.6/3010/CI1 0004  UNOFF
2005/09/24 19:00:38 YVR SA 1900  240 FEW 30 221/15.0/10.6/3016/CI1  UNOFF
2005/09/24 20:00:46 YVR SA 2000  240 FEW 30 219/15.3/10.5/3015/CI1  UNOFF
2005/09/24 21:01:19 YVR SA 2100  240 FEW 30 216/15.6/10.7/3014/CI1 0004  UNOFF
2005/09/24 22:03:47 YVR SA 2200  240 FEW 30 209/15.8/10.7/3014/CI1  UNOFF
2005/09/24 23:00:19 YVR SA 2300  240 -FEW 30 207/16.4/10.6/3011/CI1  UNOFF

2005/09/25 00:02:27 YVR SA 0000  240 -FEW 30 202/16.3/9.2/2906/CI1 7014  UNOFF
2005/09/25 01:00:24 YVR SA 0100  240 -BKN 30 203/15.1/10.2/2404/CI2  UNOFF
2005/09/25 02:02:37 YVR SA 0200  240 -SCT 30 202/13.8/10.2/2703/CI2 RMK HZ UNOFF
2005/09/25 03:01:30 YVR SA 0300  230 -FEW 30 203/13.6/10.5/2702/CI2 5001 RMK HZ UNOFF
2005/09/25 04:01:14 YVR SA 0400  240 FEW 30 206/13.7/10.5/2203/CI1  UNOFF
2005/09/25 05:01:05 YVR SA 0500  240 FEW 30 206/11.8/9.4/2903/CI1  UNOFF
2005/09/25 06:02:32 YVR SA 0600  240 FEW 30 208/11.3/9.2/0702/CI1 5005  UNOFF
2005/09/25 07:01:02 YVR SB 0700  240 FEW 30 208/10.5/8.5/0904/CI1  UNOFF
2005/09/25 07:01:02 YVR SA 0700  240 FEW 30 208/10.0/8.5/0904/CI1  UNOFF
2005/09/25 08:01:22 YVR SA 0800  240 FEW 20 211/8.5/7.9/0907/CI1  UNOFF
2005/09/25 09:01:27 YVR SA 0900  240 FEW 20 213/10.2/9.3/3604/CI1 5005  UNOFF
2005/09/25 10:01:54 YVR SA 1000  240 FEW 20 214/9.0/8.3/0304/CI1  UNOFF
2005/09/25 10:39:06 YVR SP 1037  240 FEW 20MIFG /9.1//3604/CI1  UNOFF
2005/09/25 11:01:18 YVR SA 1100  240 FEW 20MIFG 215/9.1/8.5/0103/CI1  UNOFF
2005/09/25 12:02:05 YVR SA 1200  240 FEW 20MIFG 216/8.6/7.9/0000/CI1 2003  UNOFF
2005/09/25 13:00:58 YVR SA 1300  CLR 20 217/7.4/6.8/0103/  UNOFF
2005/09/25 14:03:08 YVR SA 1400  15 FEW 15 222/8.4/7.9/0303/SC3  UNOFF
2005/09/25 15:02:39 YVR SA 1500  M16 BKN 15 225/10.1/8.7/0204/SC9 5009  UNOFF
2005/09/25 16:02:45 YVR SA 1600  M18 BKN 15 229/11.7/9.3/3602/SC8  UNOFF
2005/09/25 16:35:15 YVR SP 1634  20 -BKN 20 /13.0//0000/SC5  UNOFF
2005/09/25 17:02:43 YVR SA 1700  M20 BKN 20 230/13.2/8.8/2903/SC7  UNOFF
2005/09/25 18:03:56 YVR SA 1800  20 SCT 20 232/14.9/9.1/2704/SC4 1007  UNOFF
2005/09/25 19:02:10 YVR SA 1900  30 FEW 20 230/15.8/9.5/2407/SC3  UNOFF
2005/09/25 20:02:27 YVR SA 2000  30 FEW 20 229/16.1/9.6/2708/CU1  UNOFF
2005/09/25 21:03:44 YVR SA 2100  30 FEW 240 -FEW 20 224/16.5/9.8/3005/SC1CI0 0008 RMK TR SC UNOFF
2005/09/25 22:02:29 YVR SA 2200  240 -FEW 20 222/16.4/10.0/2607/CI1  UNOFF
2005/09/25 23:02:42 YVR SA 2300  240 -BKN 20 219/15.9/9.9/2608/CI1  UNOFF

2005/09/26 00:03:05 YVR SA 0000  220 -BKN 20 215/15.7/10.0/2705/CI1 0009  UNOFF
2005/09/26 01:01:17 YVR SA 0100  220 -BKN 20 210/15.0/10.6/2803/CI2  UNOFF
2005/09/26 02:03:18 YVR SA 0200  240 -BKN 30 209/12.7/9.8/3104/CI1  UNOFF
2005/09/26 03:00:52 YVR SA 0300  240 -SCT 30 206/12.5/9.9/3003/CI2 6009  UNOFF
2005/09/26 04:00:50 YVR SA 0400  240 -SCT 30 206/11.3/9.3/3304/CI2  UNOFF
2005/09/26 05:00:47 YVR SA 0500  240 -SCT 30 207/11.7/8.9/3204/CI2  UNOFF
2005/09/26 06:00:37 YVR SA 0600  240 -SCT 30 204/11.3/8.6/3602/CI2 0002  UNOFF
2005/09/26 07:00:51 YVR SA 0700  230 -SCT 30 201/10.3/8.2/3502/CI2  UNOFF
2005/09/26 08:02:13 YVR SA 0800  230 -SCT 30 198/10.5/8.3/0000/CI2  UNOFF
2005/09/26 09:02:14 YVR SA 0900  230 -SCT 30 196/11.3/8.9/0000/CI2 7008  UNOFF
2005/09/26 10:01:36 YVR SA 1000  230 -FEW 20 193/10.2/8.8/0000/CI2  UNOFF
2005/09/26 11:02:53 YVR SA 1100  220 -SCT 20 186/9.0/8.3/0903/CI3  UNOFF
2005/09/26 12:01:48 YVR SA 1200  220 -SCT 20 183/10.1/9.2/0000/CI2 7013  UNOFF
2005/09/26 13:01:48 YVR SA 1300  220 -FEW 20 179/8.9/8.0/0102/CI2  UNOFF
2005/09/26 14:02:34 YVR SA 1400  220 FEW 20MIFG 180/8.5/8.1/3602/CI2  UNOFF
2005/09/26 15:02:37 YVR SA 1500  220 -FEW 20 181/9.5/8.2/0000/CI1 5002  UNOFF
2005/09/26 16:00:35 YVR SA 1600  210 -BKN 30 178/12.9/9.4/1003/CI1  UNOFF
2005/09/26 17:00:25 YVR SA 1700  210 -BKN 30 176/14.4/10.4/1204/CI2  UNOFF
2005/09/26 18:02:27 YVR SA 1800  210 -BKN 30 178/15.9/9.9/1302/CI2 5003  UNOFF
2005/09/26 19:02:47 YVR SA 1900  140 FEW 210 -BKN 30 169/17.8/10.0/2306/AC1CI2  UNOFF
2005/09/26 20:02:42 YVR SA 2000  140 FEW 210 -FEW 30 164/18.5/9.6/2208/AC1CI1  UNOFF
2005/09/26 21:05:24 YVR SA 2100  140 FEW 210 FEW 30 161/18.9/10.4/2210/AC1CI1 6017  UNOFF
2005/09/26 22:04:31 YVR SA 2200  140 FEW 210 FEW 30 156/19.9/10.2/2806G15/AC1CI2  UNOFF
2005/09/26 23:04:52 YVR SA 2300  45 FEW 80 SCT 30 155/17.3/10.6/2708/SC1AC4  UNOFF

2005/09/27 00:04:15 YVR SA 0000  45 FEW 70 FEW 30 154/16.6/11.0/2505/SC2AC1 6007  UNOFF
2005/09/27 01:02:24 YVR SA 0100  40 FEW 70 FEW 220 -FEW 30 153/15.5/11.1/2905/SC1AC1CI0  UNOFF
2005/09/27 02:00:41 YVR SA 0200  40 FEW 70 FEW 240 -SCT 30 154/13.6/11.3/3107/SC1AC1CI1  UNOFF
2005/09/27 03:00:33 YVR SA 0300  40 FEW 80 FEW 240 -FEW 30 157/13.2/10.8/2906/SC1AC1CI0 5003  UNOFF
2005/09/27 04:00:33 YVR SA 0400  70 FEW 240 -FEW 30 160/13.3/11.9/3006/AC1CI1  UNOFF
2005/09/27 05:01:38 YVR SA 0500  80 FEW 240 -FEW 20 162/13.5/12.2/3113/AC1CI1  UNOFF
2005/09/27 06:02:40 YVR SA 0600  80 FEW 240 -FEW 20 166/13.1/11.3/3011/AC1CI1 2009  UNOFF
2005/09/27 07:00:05 YVR SA 0700  80 FEW 220 FEW 20 169/13.4/10.9/3312/AC1CI1  UNOFF
2005/09/27 08:00:22 YVR SA 0800  220 FEW 20 174/12.1/10.5/3112/CI1  UNOFF
2005/09/27 09:03:00 YVR SA 0900  220 FEW 20 180/11.9/10.3/3012/CI1 5014  UNOFF
2005/09/27 10:01:51 YVR SA 1000  220 FEW 20 183/11.8/10.4/3013/CI1  UNOFF
2005/09/27 11:01:16 YVR SA 1100  59 SCT 20 188/11.7/10.2/3116/SC5  UNOFF
2005/09/27 12:01:26 YVR SA 1200  60 SCT 20 192/11.2/9.9/3113/SC4 2012  UNOFF
2005/09/27 13:02:43 YVR SA 1300  18 FEW 60 FEW 220 -SCT 20 198/11.2/10.1/3209/SC1SC1CI1  UNOFF
2005/09/27 14:04:06 YVR SA 1400  M15 BKN 70 BKN 15 205/11.4/10.1/3210/SC7AC1  UNOFF
2005/09/27 15:03:49 YVR SA 1500  15 FEW 90 FEW 20 212/11.3/10.4/3009/SC1AC1 2020  UNOFF
2005/09/27 16:03:32 YVR SA 1600  12 FEW 20 217/12.5/10.9/3210/SC1 RMK CU ASOCTD UNOFF
2005/09/27 17:02:45 YVR SA 1700  12 FEW 20 224/13.7/11.3/3109/SC1 RMK CU ASOCTD UNOFF
2005/09/27 18:03:27 YVR SA 1800  30 FEW 20 228/14.6/11.0/3010/SC1 2016  UNOFF
2005/09/27 19:03:37 YVR SA 1900  30 FEW 20 233/14.5/10.5/3012/SC1  UNOFF
2005/09/27 20:00:40 YVR SA 2000  30 FEW 20 234/15.5/10.4/3110/SC1  UNOFF
2005/09/27 21:02:46 YVR SA 2100  30 FEW 20 234/15.9/10.3/2908/SC1 1006  UNOFF
2005/09/27 22:02:07 YVR SA 2200  40 FEW 20 234/16.0/10.3/2907/SC1 RMK TR SC UNOFF
2005/09/27 23:02:19 YVR SA 2300  40 FEW 20 234/17.0/11.3/2906/SC1 RMK TR SC UNOFF

2005/09/28 00:03:09 YVR SA 0000  40 FEW 230 -FEW 20 233/16.4/10.6/3003/SC1CI0 0001 RMK TR SC UNOFF
2005/09/28 01:04:26 YVR SA 0100  230 -FEW 20 235/14.8/11.6/2405/CI0  UNOFF
2005/09/28 02:00:58 YVR SA 0200  240 -FEW 30 238/13.5/11.4/2303/CI1  UNOFF
2005/09/28 03:00:50 YVR SA 0300  240 FEW 30 244/12.9/11.5/2902/CI1 5011  UNOFF
2005/09/28 04:00:28 YVR SA 0400  240 FEW 30 247/11.4/10.2/0904/CI1  UNOFF
2005/09/28 05:01:22 YVR SA 0500  240 FEW 30 251/10.7/9.7/0906/CI1  UNOFF
2005/09/28 06:01:13 YVR SA 0600  240 FEW 30 251/10.1/9.2/1107/CI1 1007  UNOFF
2005/09/28 07:01:56 YVR SA 0700  240 FEW 30 252/10.5/9.6/0906/CI1  UNOFF
2005/09/28 08:02:03 YVR SA 0800  240 FEW 30 251/10.1/9.0/1105/CI1  UNOFF
2005/09/28 09:03:25 YVR SA 0900  220 FEW 20 251/10.7/9.5/1109/CI1 0000  UNOFF
2005/09/28 10:02:25 YVR SA 1000  220 FEW 20 250/8.8/8.2/1007/CI1  UNOFF
2005/09/28 11:00:51 YVR SA 1100  220 FEW 20 249/8.7/8.0/0907/CI1  UNOFF
2005/09/28 12:00:59 YVR SA 1200  220 FEW 20 248/10.1/9.1/1108/CI1 7003  UNOFF
2005/09/28 13:02:20 YVR SA 1300  220 FEW 20 248/8.5/7.9/1009/CI1  UNOFF
2005/09/28 14:04:01 YVR SA 1400  220 -BKN 20 248/9.4/8.7/1109/CI2 RMK VIS LWR W UNOFF
2005/09/28 15:04:46 YVR SA 1500  70 FEW 220 -BKN 15 249/10.6/9.6/1009/AC1CI2 5001 RMK TR AC UNOFF
2005/09/28 16:03:43 YVR SA 1600  70 FEW 220 -BKN 12 249/13.3/10.7/1008/AC3CI1  UNOFF
2005/09/28 17:03:56 YVR SA 1700  40 FEW 70 FEW 150 SCT M220 OVC 15 247/14.0/10.4/1109/SC1AC2AC1CI3  UNOFF
2005/09/28 18:05:28 YVR SA 1800  40 FEW M72 BKN 220 OVC 15 243/15.5/10.5/1312G18/SC2AC6CI1 0006 RMK VIS LWR W UNOFF
2005/09/28 19:03:48 YVR SA 1900  40 FEW M70 BKN 150 BKN 220 OVC 15 241/14.9/10.2/1210/SC2AC6AC1CI1 RMK VIS LWR W UNOFF
2005/09/28 19:48:23 YVR SP 1945  35 FEW 64 SCT M110 OVC 10SHRA- /14.8//1313/SC2SC2AC6  UNOFF
2005/09/28 20:02:34 YVR SA 2000  35 FEW 64 SCT M110 OVC 10SHRA- 238/14.4/10.5/1208/SC2SC2AC6  UNOFF
2005/09/28 21:05:00 YVR SA 2100  35 FEW M98 OVC 10SHRA- 236/13.8/11.5/1111/SC3AC7 5007  UNOFF
2005/09/28 21:40:33 YVR SP 2139  35 FEW M71 OVC 10 /14.0//1110/SC3AC7  UNOFF
2005/09/28 22:03:18 YVR SA 2200  35 FEW M78 OVC 12 233/14.2/11.4/1110/SC3AC7  UNOFF
2005/09/28 22:50:15 YVR SP 2249  40 FEW M73 BKN 140 OVC 12SHRA- /14.2//1011/SC2AC7AS1  UNOFF
2005/09/28 23:03:13 YVR SA 2300  55 FEW M72 BKN 120 OVC 12SHRA- 225/14.4/11.1/1108/SC3AC6AS1  UNOFF
2005/09/28 23:52:40 YVR SP 2350  M54 BKN 75 BKN 120 OVC 10 /14.6//1110/SC6AC3AS1  UNOFF

2005/09/29 00:03:07 YVR SA 0000  M53 BKN 75 OVC 10 220/14.7/11.0/0907/SC6AC4 0016  UNOFF
2005/09/29 00:26:46 YVR SP 0023  15 FEW M50 OVC 4SHRA-FG /14.6//0904/ST3SC7  UNOFF
2005/09/29 01:04:55 YVR SA 0100  15 FEW M46 OVC 6SHRA-FG 211/14.2/12.3/1206/SF2SC8  UNOFF
2005/09/29 02:01:51 YVR SA 0200  15 FEW M50 BKN 70 OVC 5SHRA-FG 207/13.7/12.9/0910/SF2SC7AC1  UNOFF
2005/09/29 03:01:19 YVR SA 0300  15 FEW M42 BKN 70 OVC 6SHRA-FG 204/12.5/11.6/0611/SF2SC7AC1 6016  UNOFF
2005/09/29 04:01:06 YVR SA 0400  15 FEW M40 OVC 6RA-FG 199/12.2/11.3/0809/SF2SC8  UNOFF
2005/09/29 05:00:39 YVR SA 0500  15 FEW M37 BKN 50 OVC 5RA-FG 193/12.0/11.2/0810/SF2SC6SC2  UNOFF
2005/09/29 06:01:49 YVR SA 0600  15 FEW M37 BKN 50 OVC 5RA-FG 186/12.0/11.5/0910/SF2SC7SC1 0018  UNOFF
2005/09/29 07:01:40 YVR SA 0700  11 SCT M35 BKN 50 OVC 5RA-FG 180/12.1/11.9/0907/SF4SC5SC1  UNOFF
2005/09/29 08:02:44 YVR SA 0800  12 FEW M37 BKN 60 OVC 5RA-FG 173/12.0/11.7/0913/SF3SC4SC3  UNOFF
2005/09/29 09:02:04 YVR SA 0900  13 FEW M38 BKN 60 OVC 5RA-FG 171/11.7/11.2/1009/SF2SC7SC1 6015  UNOFF
2005/09/29 10:01:05 YVR SA 1000  7 FEW M25 BKN 40 OVC 4RA-FG 161/11.4/11.1/1012/SF3SC5SC2  UNOFF
2005/09/29 11:01:30 YVR SA 1100  8 FEW M16 BKN 35 OVC 4RA-FG 155/11.4/10.9/1013/SF3SC4SC3  UNOFF
2005/09/29 11:03:14 YVR SA 1100  8 FEW M16 BKN 35 OVC 4RA-FG 155/11.4/10.9/1013/SF3SC4SC3 RMK /R10 UNOFF
2005/09/29 11:55:08 YVR SP 1152  M9 BKN 15 BKN 30 OVC 3RA-FG /11.5//1011/SF6SC3SC1  UNOFF
2005/09/29 12:03:04 YVR SA 1200  M9 BKN 14 BKN 30 OVC 4RA-FG 147/11.5/11.1/1109/SF6SC3SC1 7024  UNOFF
2005/09/29 12:24:55 YVR SP 1222  8 SCT M15 BKN 30 OVC 4RA-FG /11.6//1011G16/SF5SC3SC2  UNOFF
2005/09/29 13:03:01 YVR SA 1300  7 SCT M14 BKN 25 OVC 3RA-FG 135/11.9/11.5/1113/SF5SC4SC1  UNOFF
2005/09/29 13:52:04 YVR SP 1350  6 SCT M12 BKN 18 OVC 21/2RA-FG /12.0//1012/SF5SC4SC1  UNOFF
