2005/04/05 00:04:42 YVR SA 0000  44 SCT E80 BKN 15 193/11.5/-0.1/1805/SC5AC1 2005 RMK TCU EMBD UNOFF
2005/04/05 01:04:38 YVR SA 0100  45 FEW 80 FEW 15 198/10.8/0.8/1410/TCU2AC1 RMK SH DIST N UNOFF
2005/04/05 02:01:12 YVR SA 0200  45 FEW 80 -SCT 200 -BKN 15 200/9.8/2.9/1610/SC1AC1CI1 RMK SH DIST NE UNOFF
2005/04/05 03:01:24 YVR SA 0300  37 FEW 80 -SCT 220 -BKN 15 206/8.6/3.0/1410/SC1AC1CI0 5013 RMK SH DIST N UNOFF
2005/04/26 23:00:56 YVR SA 2300  240 -BKN 15 166/19.2/13.2/2208/CI1 RMK HZ UNOFF

2005/04/27 00:01:09 YVR SA 0000  240 -BKN 15 161/19.5/12.7/2209/CI1 0017 RMK HZ UNOFF
2005/04/27 01:01:44 YVR SA 0100  240 -BKN 15 157/18.9/10.9/2108/CI1 RMK HZ UNOFF
2005/04/27 02:03:19 YVR SA 0200  240 -BKN 15 151/18.7/10.7/2005/CI1  UNOFF
2005/04/27 03:03:29 YVR SA 0300  240 -BKN 15 147/17.9/10.6/1505/CI1 6014  UNOFF
2005/04/27 04:02:57 YVR SA 0400  240 -SCT 15 149/14.6/10.7/1008/CI1  UNOFF
2005/04/27 05:16:39 YVR SA 0500  240 -FEW 15 150/13.1/10.5/0907/CI1  UNOFF
2005/04/27 06:01:46 YVR SA 0600  240 -FEW 15 149/13.4/10.3/1207/CI1 0002  UNOFF
2005/04/27 07:02:25 YVR SA 0700  240 -SCT 15 149/13.0/10.3/0909/CI1  UNOFF
2005/04/27 08:01:50 YVR SA 0800  240 -FEW 15 150/11.7/9.6/0906/CI1  UNOFF
2005/04/27 09:03:30 YVR SA 0900  240 -FEW 15 146/11.3/9.4/1716/CI1 0003  UNOFF
2005/04/27 09:18:57 YVR SA 0900  240 -FEW 15 146/11.3/9.4/1106/CI1 0003  UNOFF
Warning: at line 610: duplicated data: prev hr = 1 PST  current hr = 1 PST
2005/04/27 10:03:07 YVR SA 1000  240 -FEW 15 144/12.3/10.1/1103/CI0  UNOFF
2005/04/27 11:01:56 YVR SA 1100  220 -FEW 15 141/12.4/9.7/1204/CI0  UNOFF
2005/04/27 12:02:31 YVR SA 1200  220 -FEW 15 139/12.5/9.9/1402/CI0 7007  UNOFF
2005/04/27 13:03:26 YVR SA 1300  220 -SCT 15 139/10.5/9.3/3403/CI1  UNOFF
2005/04/27 14:00:58 YVR SA 1400  240 -BKN 15PRFG 138/11.0/9.9/2703/CI1  UNOFF
2005/04/27 15:00:54 YVR SA 1500  240 -BKN 15 137/13.2/12.2/3007/CI1 7002  UNOFF
2005/04/27 16:01:35 YVR SA 1600  230 -BKN 15 137/14.2/12.9/3007/CI1  UNOFF
2005/04/27 17:01:08 YVR SA 1700  230 -BKN 15 136/15.3/13.2/2807/CI1  UNOFF
2005/04/27 18:01:52 YVR SA 1800  220 -BKN 20 134/16.1/13.2/2908/CI1 7003  UNOFF
2005/04/27 19:01:05 YVR SA 1900  40 FEW 220 -BKN 20 129/17.1/13.2/3109/CF1CI1 RMK TR CF UNOFF
2005/04/27 20:01:46 YVR SA 2000  40 FEW 220 -BKN 20 121/18.4/13.7/3112/CF1CI1 RMK TR CF UNOFF
2005/04/27 21:01:45 YVR SA 2100  40 FEW 220 -BKN 20 116/19.1/13.7/3013/CF1CI1 7018 RMK TR CF UNOFF
2005/04/27 22:00:54 YVR SA 2200  40 FEW 220 -BKN 20 111/19.7/11.9/3013/CF1CI1 RMK TR CF UNOFF
2005/04/27 23:01:04 YVR SA 2300  40 FEW 220 -BKN 30 105/20.0/12.1/3014/CF1CI1 RMK TR CF UNOFF

2005/04/28 00:01:34 YVR SA 0000  220 -BKN 30 101/18.9/13.1/2711/CI1 7015  UNOFF
2005/04/28 01:02:25 YVR SA 0100  220 -BKN 30 099/18.7/12.1/3110/CI1  UNOFF
2005/04/28 02:01:59 YVR SA 0200  220 -SCT 30 094/18.0/11.3/2907/CI1  UNOFF
2005/04/28 03:03:19 YVR SA 0300  220 -SCT 30 096/17.2/8.9/2204/CI1 5005  UNOFF
2005/04/28 04:02:56 YVR SA 0400  220 -SCT 30 096/14.5/9.4/3503/CI1  UNOFF
2005/04/28 05:01:50 YVR SA 0500  220 -FEW 20 098/14.3/7.4/3504/CI1  UNOFF
2005/04/28 06:02:49 YVR SA 0600  220 -FEW 20 100/15.0/2.0/0206/CI1 5004  UNOFF
2005/04/28 07:04:12 YVR SA 0700  100 FEW 220 -FEW 20 104/15.8/-1.5/0105/AC1CI1  UNOFF
2005/04/28 08:02:23 YVR SA 0800  100 FEW 220 -FEW 20 107/15.6/-1.3/0305/AC1CI1  UNOFF
2005/04/28 09:03:12 YVR SA 0900  83 FEW 220 -SCT 20 110/14.2/-1.3/0903/AC2CI1 2010  UNOFF
2005/04/28 10:06:11 YVR SA 1000  90 SCT 220 SCT 20 112/13.0/-0.8/1005/AC4CI1  UNOFF
2005/04/28 11:04:19 YVR SA 1100  90 FEW 220 SCT 20 114/12.2/0.6/1102/AC3CI1  UNOFF
2005/04/28 12:06:33 YVR SA 1200  M94 BKN 220 BKN 20 119/13.1/0.0/2103/AC7CI0 1009  UNOFF
2005/04/28 13:03:16 YVR SA 1300  96 SCT 220 -BKN 20 123/10.7/2.3/0103/AC5CI0  UNOFF
2005/04/28 14:01:05 YVR SA 1400  100 -SCT 220 -BKN 20 127/12.2/2.4/0000/AC2CI1  UNOFF
2005/04/28 15:01:03 YVR SA 1500  100 -FEW 220 -FEW 30 129/15.7/0.6/3502/AC1CI0 2010  UNOFF
2005/04/28 16:01:05 YVR SA 1600  100 -FEW 220 -FEW 30 133/16.9/1.4/2002/AC0CI0  UNOFF
2005/04/28 17:02:11 YVR SA 1700  100 FEW 220 FEW 30 133/17.6/0.7/2308/AC1CI1 RMK TR AC TR CI UNOFF
2005/04/28 18:01:47 YVR SA 1800  220 FEW 30 135/18.6/1.7/2305/CI1 2006  UNOFF
2005/04/28 19:01:04 YVR SA 1900  40 FEW 120 -FEW 30 133/17.6/7.8/2607/CF1CI1  UNOFF
2005/04/28 20:03:22 YVR SA 2000  40 FEW 140 -SCT 220 -SCT 30 129/19.3/4.7/2409/CU1AC1CI1  UNOFF
2005/04/28 21:01:24 YVR SA 2100  40 FEW 200 -BKN 220 -BKN 30 129/18.4/6.7/2709/CU1CC3CI1 7006  UNOFF
2005/04/28 22:01:58 YVR SA 2200  40 FEW M190 BKN 220 BKN 30 127/18.0/8.5/2708/SC1AC5CI1  UNOFF
2005/04/28 23:01:44 YVR SA 2300  40 FEW M180 BKN 220 BKN 30 125/18.3/8.7/2707/SC1AC6CI1  UNOFF

2005/04/29 00:01:04 YVR SA 0000  40 FEW M180 BKN 220 BKN 30 123/18.5/7.4/2606/CF1AC5CI1 7006  UNOFF
2005/04/29 01:01:14 YVR SA 0100  40 FEW M220 BKN 30 123/18.4/4.7/2603/CF1CI5  UNOFF
2005/04/29 02:01:57 YVR SA 0200  40 FEW 220 -OVC 30 123/18.2/1.2/0000/CU1CI3  UNOFF
2005/04/29 03:02:55 YVR SA 0300  100 FEW 220 -BKN 30 125/18.2/0.1/0000/AC1CI3 5002  UNOFF
2005/04/29 04:01:44 YVR SA 0400  240 -BKN 30 127/16.4/1.3/0203/CI5  UNOFF
2005/04/29 05:01:37 YVR SA 0500  240 -BKN 30 132/16.1/2.9/1202/CI4  UNOFF
2005/04/29 06:02:19 YVR SA 0600  240 -SCT 20 136/14.5/1.5/1303/CI2 2011  UNOFF
2005/04/29 07:02:49 YVR SA 0700  240 -SCT 20 143/11.3/3.8/0706/CI3  UNOFF
2005/04/29 08:01:07 YVR SA 0800  240 -SCT 20 148/10.7/8.0/0907/CI3  UNOFF
2005/04/29 09:03:23 YVR SA 0900  240 -SCT 20 153/9.8/5.0/1108/CI3 2017  UNOFF
2005/04/29 10:01:53 YVR SA 1000  240 -BKN 20 155/9.5/5.2/0806/CI3  UNOFF
2005/04/29 11:03:39 YVR SA 1100  240 -BKN 20 162/10.6/5.8/1005/CI3  UNOFF
2005/04/29 12:03:53 YVR SA 1200  120 FEW 240 -BKN 20 166/9.9/6.1/0803/AC2CI1 1013  UNOFF
2005/04/29 13:05:16 YVR SA 1300  120 FEW 240 -BKN 20 169/9.5/5.3/0706/AC2CI2  UNOFF
2005/04/29 14:01:05 YVR SA 1400  120 -FEW 240 -BKN 30 175/9.7/5.0/0805/AC1CI2  UNOFF
2005/04/29 15:01:01 YVR SA 1500  120 FEW 240 -BKN 30 178/12.5/3.4/1108/AC1CI3 2012 RMK TR AC UNOFF
2005/04/29 16:01:36 YVR SA 1600  240 -OVC 30 180/14.2/2.5/1403/CI3  UNOFF
2005/04/29 17:02:18 YVR SA 1700  120 FEW 240 -OVC 30 181/15.5/2.0/2304/AC1CI4 RMK TR AC UNOFF
2005/04/29 18:01:42 YVR SA 1800  M240 OVC 30 182/15.6/3.2/2306/CS6 2004  UNOFF
2005/04/29 19:01:51 YVR SA 1900  40 FEW 120 FEW 240 -OVC 30 184/15.4/4.9/2309/CF1AC1CS3 RMK TR CF UNOFF
2005/04/29 20:00:57 YVR SA 2000  40 FEW 120 FEW 240 -OVC 30 184/16.4/6.9/2507/CF1AC1CS2 RMK TR CF UNOFF
2005/04/29 21:02:13 YVR SA 2100  40 FEW 120 FEW 230 -OVC 30 182/17.4/2.6/2308G17/CU1AC1CS2 0000 RMK TR CU TR AC UNOFF
2005/04/29 22:01:52 YVR SA 2200  40 FEW 120 FEW 230 -BKN 30 180/18.2/5.9/2507/CU1AC1CI2 RMK TR CU TR AC UNOFF
2005/04/29 23:00:59 YVR SA 2300  40 FEW 120 FEW 200 -SCT 230 -BKN 30 179/17.8/10.1/2406/CU1AC1CI1CS1 RMK TR CU TR AC UNOFF

2005/04/30 00:01:11 YVR SA 0000  40 FEW 150 FEW 240 -OVC 30 177/17.3/10.5/2106/CU1AC1CS2 7005  UNOFF
2005/04/30 00:02:26 YVR SA 0000  40 FEW 150 FEW 240 -OVC 30 177/17.3/10.5/2106/CU1AC1CS2 7005 RMK TR CU TR AC UNOFF
Warning: at line 677: duplicated data: prev hr = 16 PST  current hr = 16 PST
2005/04/30 01:02:43 YVR SA 0100  40 FEW 190 FEW 240 -OVC 30 180/16.4/8.3/1809/CU1AC1CS1 RMK TCU ASOCT TR AC UNOFF
2005/04/30 02:06:27 YVR SA 0200  40 FEW 150 SCT 240 -OVC 15 185/14.9/8.9/1705/TCU2AC2CI1  UNOFF
2005/04/30 03:02:19 YVR SA 0300  40 FEW 150 FEW 240 -OVC 15 186/14.2/8.3/1307/SC1AC2CS1 1009  UNOFF
2005/04/30 04:04:52 YVR SA 0400  40 FEW M150 BKN 240 OVC 15 193/13.3/9.0/1208/SC1AC6CS3  UNOFF
2005/04/30 05:02:50 YVR SA 0500  M160 BKN 240 BKN 15 196/11.8/8.7/1009/AC6CS1  UNOFF
2005/04/30 06:01:13 YVR SA 0600  160 -SCT 240 -BKN 15 198/12.0/8.9/1008/AC3CS1 1012  UNOFF
2005/04/30 07:03:06 YVR SA 0700  100 -BKN 15 201/11.3/8.5/1010/AC5  UNOFF
2005/04/30 08:02:05 YVR SA 0800  60 FEW 100 SCT M140 BKN 15 205/11.0/8.5/0906/SC2AC3AC2  UNOFF
2005/04/30 09:04:25 YVR SA 0900  30 FEW 60 FEW M140 BKN 15 206/10.8/8.3/1007/SC1SC1AC4 1008  UNOFF
2005/04/30 10:03:32 YVR SA 1000  30 FEW 60 SCT M140 BKN 15 205/10.8/7.9/0908/SC1SC3AC2  UNOFF
2005/04/30 11:04:45 YVR SA 1100  27 FEW 100 SCT M140 BKN 15 207/11.3/7.8/0906/SC2AC2AC2  UNOFF
2005/04/30 12:05:13 YVR SA 1200  M28 BKN 65 BKN 90 OVC 15 207/11.9/7.9/0000/SC6SC2AC2 5001  UNOFF
2005/04/30 13:03:59 YVR SA 1300  30 SCT M58 BKN 100 OVC 15 209/12.1/8.3/1306/SC4SC5AC1  UNOFF
2005/04/30 13:46:03 YVR SP 1344  25 FEW 60 SCT M70 BKN 100 OVC 15SHRA- ///1406/SC3SC2AC4AC1  UNOFF
2005/04/30 14:03:12 YVR SA 1400  25 SCT M60 BKN 70 BKN 100 OVC 15SHRA- 212/11.8/9.5/1405/SC4SC2AC3AC1  UNOFF
2005/04/30 14:17:38 YVR SP 1416  25 SCT M60 BKN 70 BKN 100 OVC 15 ///1305/SC4SC3AC2AC1  UNOFF
2005/04/30 15:03:51 YVR SA 1500  20 FEW M30 BKN 60 BKN 90 OVC 15 213/12.2/9.3/1207/SF1SC5SC2AC2 2006  UNOFF
2005/04/30 16:03:28 YVR SA 1600  16 FEW M32 BKN 50 BKN 80 OVC 12 214/12.3/9.1/1212/CF1SC6SC2AC1  UNOFF
2005/04/30 17:02:42 YVR SA 1700  16 FEW 30 SCT M50 BKN 80 OVC 12 215/12.7/9.3/1009/CF1SC4SC4AC1  UNOFF
2005/04/30 18:01:03 YVR SA 1800  17 FEW 30 SCT M50 BKN 80 OVC 12 216/13.0/8.8/1012/CF1CU3SC5AC1 2003  UNOFF
2005/04/30 19:04:00 YVR SA 1900  16 FEW 40 SCT M60 BKN 80 OVC 12 219/12.8/9.8/0909/CU1CU3SC4AC2  UNOFF
2005/04/30 20:03:33 YVR SA 2000  18 FEW 40 SCT M55 BKN 90 OVC 12 218/13.7/9.9/0909/CF2SC2SC4AC2  UNOFF
2005/04/30 21:03:31 YVR SA 2100  22 SCT M50 BKN 90 BKN 15 217/14.5/9.8/1209/SC4SC3AC2 0001  UNOFF
2005/04/30 22:02:30 YVR SA 2200  25 SCT M60 BKN 90 BKN 15 214/15.2/8.8/0809/SC4SC3AC1  UNOFF
2005/04/30 23:02:19 YVR SA 2300  25 FEW M42 BKN 100 BKN 15 209/15.6/9.4/1005/SC3SC4AC1  UNOFF

2005/05/01 00:02:33 YVR SA 0000  25 FEW M40 BKN 100 BKN 15 206/15.4/8.6/2407/SC2SC6AC1 7011  UNOFF
2005/05/01 01:02:13 YVR SA 0100  M44 BKN 100 BKN 15 205/14.2/10.5/2606/SC7AC2  UNOFF
2005/05/01 02:04:08 YVR SA 0200  M43 OVC 15 204/13.5/10.0/2907/SC10  UNOFF
2005/05/01 03:04:15 YVR SA 0300  M52 OVC 15 203/12.9/9.6/3104/SC8 7003  UNOFF
2005/05/01 04:01:41 YVR SA 0400  M47 OVC 15 204/13.3/9.3/3403/SC10  UNOFF
2005/05/01 05:02:38 YVR SA 0500  M53 BKN 100 OVC 15 205/12.6/9.4/3105/SC8AC2  UNOFF
2005/05/01 06:02:21 YVR SA 0600  50 FEW 15 203/11.0/8.8/3205/SC3 0000  UNOFF
2005/05/01 07:01:23 YVR SA 0700  50 FEW 15 202/11.6/9.3/3302/SC2  UNOFF
2005/05/01 08:01:03 YVR SA 0800  50 FEW 15 202/10.6/8.2/3204/SC2  UNOFF
2005/05/01 09:03:47 YVR SA 0900  90 SCT 230 -SCT 15 200/10.4/8.3/0000/AC4CS0 0003  UNOFF
2005/05/01 10:03:48 YVR SA 1000  M77 BKN 110 BKN 15 198/10.0/7.9/3503/AC6AC2  UNOFF
2005/05/01 11:04:11 YVR SA 1100  M83 BKN 100 BKN 15 200/10.8/8.1/0000/AC6AC1  UNOFF
2005/05/01 12:04:36 YVR SA 1200  M82 BKN 110 BKN 15 200/10.3/7.7/0000/AC7AC2 5000  UNOFF
2005/05/01 13:03:08 YVR SA 1300  M85 BKN 110 BKN 15 201/9.8/8.0/1204/AC7AC2  UNOFF
2005/05/01 14:02:32 YVR SA 1400  M74 BKN 240 BKN 15 203/9.7/8.3/1004/AC6CI1  UNOFF
2005/05/01 15:02:26 YVR SA 1500  15 FEW 75 SCT 220 -BKN 15 204/11.3/9.3/1104/CF1AC3CI1 2004  UNOFF
2005/05/01 16:02:33 YVR SA 1600  70 FEW 100 SCT 220 -BKN 15 206/13.6/9.3/0000/AC2AC2CI1  UNOFF
2005/05/01 17:03:10 YVR SA 1700  70 FEW 90 SCT 220 -BKN 15 206/13.9/9.8/2805/AC2AC2CI1  UNOFF
2005/05/01 18:04:52 YVR SA 1800  70 FEW 90 FEW 220 -BKN 20 205/14.9/11.2/2909/AC1AC2CI1 0001  UNOFF
2005/05/01 19:02:29 YVR SA 1900  60 FEW 90 FEW 220 -BKN 20 204/14.6/10.9/2911/SC1AC2CI1  UNOFF
2005/05/01 20:03:25 YVR SA 2000  50 FEW 90 FEW 240 -BKN 20 200/15.4/10.9/2911/CU1AC1CI2  UNOFF
2005/05/01 21:01:36 YVR SA 2100  50 FEW 90 FEW 240 -BKN 20 199/15.8/10.9/3011/CU1AC1CI3 7006  UNOFF
2005/05/01 22:02:48 YVR SA 2200  50 FEW 90 FEW 240 -BKN 20 198/16.6/10.6/3010/CU1AC2CI2  UNOFF
2005/05/01 23:02:58 YVR SA 2300  50 FEW 80 SCT M240 BKN 20 193/16.2/10.6/2910/CU1AC3CI2  UNOFF

2005/05/02 00:02:35 YVR SA 0000  50 FEW 80 FEW M240 BKN 20 187/16.9/10.4/3110/CU1AC2CI4 0012  UNOFF
2005/05/02 01:01:17 YVR SA 0100  50 FEW 80 FEW M240 BKN 20 182/16.3/11.1/3008/CU1AC1CI4  UNOFF
2005/05/02 02:04:53 YVR SA 0200  80 FEW M220 BKN 30 176/15.7/12.1/3008/AC2CI4  UNOFF
2005/05/02 03:03:31 YVR SA 0300  110 FEW M240 BKN 30 176/13.8/11.4/3007/AC2CI4 6011  UNOFF
2005/05/02 04:01:04 YVR SA 0400  M220 OVC 30 176/13.4/11.2/3206/CI9  UNOFF
2005/05/02 05:02:23 YVR SA 0500  M230 OVC 30 177/13.1/10.5/2907/CI10  UNOFF
2005/05/02 06:03:28 YVR SA 0600  M230 OVC 30 175/13.0/10.9/2905/CI9 0001  UNOFF
2005/05/02 07:02:25 YVR SA 0700  M180 OVC 30 173/12.8/11.2/3106/AC10  UNOFF
2005/05/02 08:00:57 YVR SA 0800  M170 BKN 30 173/13.2/11.8/0000/AC7  UNOFF
2005/05/02 09:02:15 YVR SA 0900  100 FEW M160 BKN 30 174/12.1/10.6/3104/AC3AC4 5001  UNOFF
2005/05/02 10:29:37 YVR SA 1000  M100 BKN 30 175/13.0/11.3/2706/AC9  UNOFF
2005/05/02 11:01:06 YVR SA 1100  M110 BKN 30 176/13.0/11.2/3109/AC8  UNOFF
2005/05/02 12:05:07 YVR SA 1200  M100 BKN 200 BKN 30 178/12.6/10.9/3010/AC7CI1 5004  UNOFF
2005/05/02 13:01:13 YVR SA 1300  M140 BKN 220 OVC 30 178/12.7/10.9/3011/AC8CI1  UNOFF
2005/05/02 14:02:28 YVR SA 1400  60 FEW M140 BKN 220 OVC 15 181/13.5/10.1/3113G18/SC3AC5CI1  UNOFF
2005/05/02 15:02:45 YVR SA 1500  60 SCT M130 BKN 220 OVC 15 184/13.4/10.7/2917/SC4AC5CI0 5006  UNOFF
2005/05/02 16:02:03 YVR SA 1600  60 SCT M90 BKN 130 OVC 12 187/13.6/11.0/3011/SC4AC3AS3  UNOFF
2005/05/02 17:02:49 YVR SA 1700  16 SCT M60 BKN 80 OVC 12 189/13.9/10.8/2809/SF4SC3AS3  UNOFF
2005/05/02 17:33:56 YVR SP 1731  15 SCT M70 OVC 12SHRA- ///2810/SF5AS5  UNOFF
2005/05/02 18:03:05 YVR SA 1800  15 FEW M40 BKN 70 OVC 12SHRA- 190/13.6/11.3/2909/SF3SC3AS4 1006  UNOFF
2005/05/02 19:00:56 YVR SA 1900  17 FEW 40 SCT M71 OVC 8SHRA- 191/13.2/12.0/3011G16/SF2SC3AS5  UNOFF
2005/05/02 20:02:32 YVR SA 2000  17 FEW 30 SCT M70 OVC 8SHRA- 193/13.0/11.7/3011/SF2SC2AS6  UNOFF
2005/05/02 21:02:47 YVR SA 2100  18 SCT M30 BKN 70 OVC 6SHRA- 196/12.8/11.5/2913/SF4SC4AS2 5006  UNOFF
2005/05/02 22:03:33 YVR SA 2200  17 SCT M35 BKN 55 OVC 6SHRA- 197/12.8/11.5/2911/SF4SC3SC3  UNOFF
2005/05/02 23:00:55 YVR SA 2300  17 FEW M35 BKN 70 OVC 8RA- 196/12.7/11.8/2910/SF3SC3AC4  UNOFF

2005/05/03 00:01:16 YVR SA 0000  5 FEW 17 FEW M35 BKN 70 OVC 8RA- 193/12.9/11.9/3107/SF1SF2SC4AS3 0003  UNOFF
2005/05/03 01:02:25 YVR SA 0100  8 FEW M38 BKN 70 OVC 8RA- 189/13.1/11.7/3003/SF1SC5AS4  UNOFF
2005/05/03 01:50:10 YVR SP 0147  8 FEW M42 BKN 81 OVC 10 ///0000/SF1SC6AC3  UNOFF
2005/05/03 02:04:22 YVR SA 0200  12 FEW M42 BKN 76 BKN 120 OVC 12 186/12.9/10.7/1903/SF1SC5AC3AC1  UNOFF
2005/05/03 03:03:14 YVR SA 0300  12 FEW M37 BKN 78 OVC 10 185/13.1/10.9/2004/SF1SC6AC3 6008  UNOFF
2005/05/03 03:12:43 YVR SP 0311  12 FEW M37 BKN 78 OVC 10 ///2304/SF1SC6AC3  UNOFF
2005/05/03 03:31:24 YVR SP 0328  12 FEW M38 BKN 72 OVC 10 ///2606/SF1SC6AC3  UNOFF
2005/05/03 04:01:52 YVR SA 0400  12 FEW 37 SCT M78 OVC 12 188/12.0/10.9/2102/SC2SC3AC5  UNOFF
2005/05/03 05:05:18 YVR SA 0500  31 SCT M55 BKN 75 OVC 12 189/12.1/10.5/0000/SC4SC3AC2  UNOFF
2005/05/03 05:52:56 YVR SP 0551  9 SCT M26 BKN 74 OVC 10 ///0000/SC4SC4AC2  UNOFF
2005/05/03 06:02:15 YVR SA 0600  9 SCT M22 OVC 10 189/12.3/10.7/1802/SC4SC6 1004  UNOFF
2005/05/03 07:03:53 YVR SA 0700  9 SCT M16 BKN 26 OVC 10 187/12.2/10.6/0000/SC4SC2SC2  UNOFF
2005/05/03 08:04:35 YVR SA 0800  8 SCT M17 OVC 10 188/11.4/10.6/0000/SC4SC6  UNOFF
2005/05/03 09:27:30 YVR SA 0900  8 SCT M16 OVC 10 185/12.0/10.8/0000/SC4SC6 0004  UNOFF
2005/05/03 10:03:12 YVR SA 1000  8 SCT M15 OVC 10 185/12.0/10.5/0000/SC4SC6  UNOFF
2005/05/03 11:02:33 YVR SA 1100  8 SCT M15 OVC 10 183/11.7/10.1/1603/SC4SC6  UNOFF
2005/05/03 12:03:20 YVR SA 1200  8 FEW M16 OVC 10 183/11.5/10.1/1703/SC3SC7 6002  UNOFF
2005/05/03 13:03:45 YVR SA 1300  8 FEW M15 OVC 8 182/11.5/10.1/1402/SC2SC8  UNOFF
2005/05/03 14:01:58 YVR SA 1400  6 SCT M15 BKN 22 OVC 8 183/11.3/10.1/1103/SF4SC4SC2  UNOFF
2005/05/03 15:03:14 YVR SA 1500  7 FEW M14 BKN 25 OVC 8 185/11.8/10.2/1603/SF3SC6SC1 5002  UNOFF
2005/05/03 16:02:32 YVR SA 1600  8 SCT M14 BKN 25 OVC 6FG 187/12.4/10.7/1703/SF5SC4SC1  UNOFF
2005/05/03 17:00:56 YVR SA 1700  8 FEW M15 BKN 25 BKN 40 OVC 8 186/12.8/10.8/1304/SF3SC3SC2SC1  UNOFF
2005/05/03 18:02:33 YVR SA 1800  9 FEW M15 BKN 25 BKN 40 OVC 8 186/13.2/10.8/2005/SF3SC3SC2SC2 0001  UNOFF
2005/05/03 19:01:04 YVR SA 1900  9 FEW M18 BKN 30 BKN 45 BKN 8 186/14.3/10.7/2306/SF2SC4SC2SC1  UNOFF
2005/05/03 20:00:56 YVR SA 2000  10 FEW M17 BKN 45 BKN 12 182/13.5/11.3/2407/CF1SC5SC1 RMK TCU EMBD UNOFF
2005/05/03 21:03:44 YVR SA 2100  12 FEW 20 SCT M45 BKN 12 177/14.2/11.1/2405/CF1TCU3SC2 0009  UNOFF
2005/05/03 22:03:35 YVR SA 2200  15 FEW 35 SCT 50 SCT 15 172/15.6/10.7/2207/CU1TCU3SC1  UNOFF
2005/05/03 23:02:42 YVR SA 2300  20 FEW 40 SCT 15 165/16.0/12.7/2308/CU2TCU2  UNOFF

2005/05/04 00:01:12 YVR SA 0000  35 FEW 220 -SCT 15 154/15.3/10.9/2304/CU2CI1 0023  UNOFF
2005/05/04 01:02:31 YVR SA 0100  40 FEW 220 -SCT 15 147/15.1/10.7/2405/CU2CI1 RMK TCU ASOCTD UNOFF
2005/05/04 02:01:46 YVR SA 0200  40 FEW 220 -BKN 15 144/15.0/9.7/2404/CU2CI1 RMK TCU ASOCTD UNOFF
2005/05/04 03:01:29 YVR SA 0300  40 FEW 220 -BKN 15 138/13.6/9.5/3102/CU1CI1 7016 RMK TCU ASOCTD UNOFF
2005/05/04 04:01:07 YVR SA 0400  40 FEW 220 -SCT 15 137/12.9/8.1/3603/CU1CI2 RMK TR CU UNOFF
2005/05/04 05:01:02 YVR SA 0500  220 -BKN 15 137/13.0/7.7/0103/CI2  UNOFF
2005/05/04 06:01:02 YVR SA 0600  220 -SCT 15 134/12.0/8.3/0104/CI1 7004  UNOFF
2005/05/04 07:06:17 YVR SA 0700  220 -FEW 15 132/12.1/8.4/0402/CI1  UNOFF
2005/05/04 08:05:58 YVR SA 0800  220 -FEW 15 132/12.0/9.0/0602/CI1  UNOFF
2005/05/04 09:02:30 YVR SA 0900  220 -BKN 15 131/11.8/9.2/0302/CI4 7003  UNOFF
2005/05/04 10:03:05 YVR SA 1000  M220 BKN 15 130/10.2/8.6/1004/CI6  UNOFF
2005/05/04 11:02:56 YVR SA 1100  60 SCT M170 BKN 15 133/10.9/9.0/1203/SC4AC3  UNOFF
2005/05/04 12:02:10 YVR SA 1200  60 SCT M130 OVC 15 132/11.4/9.3/0702/SC4AC4 1001  UNOFF
2005/05/04 13:01:59 YVR SA 1300  60 FEW M110 OVC 15 131/11.2/9.1/0203/SC3AC5  UNOFF
2005/05/04 14:02:22 YVR SA 1400  45 SCT M100 OVC 12 135/12.2/9.2/1503/SC4AC6  UNOFF
2005/05/04 15:04:40 YVR SA 1500  M40 BKN 78 OVC 10 139/12.1/9.7/0905/SC6AC4 5007  UNOFF
2005/05/04 15:14:12 YVR SP 1512  M40 BKN 73 OVC 10RA- ///1006/SC6AC4  UNOFF
2005/05/04 16:05:06 YVR SA 1600  40 SCT M68 OVC 8RA- 142/12.6/10.5/1107/SC4AC6 RMK PCPN VRY LGT UNOFF
2005/05/04 16:43:46 YVR SP 1642  M23 BKN 61 OVC 10 ///1306/SC6SC4  UNOFF
2005/05/04 17:02:51 YVR SA 1700  20 SCT M60 OVC 10 146/13.4/10.0/1307/SC4SC6  UNOFF
2005/05/04 17:15:02 YVR SP 1713  20 SCT M55 OVC 10RA- ///1207/SC4SC6  UNOFF
2005/05/04 18:01:02 YVR SA 1800  18 FEW 35 SCT M53 OVC 10SHRA- 148/14.0/10.6/1207/SC2SC2SC6 2009 RMK PCPN VRY LGT UNOFF
2005/05/04 18:39:05 YVR SP 1837  18 FEW M39 BKN 55 OVC 10 ///1206/SC2SC5SC3  UNOFF
2005/05/04 18:58:26 YVR SP 1855  18 FEW M39 OVC 10SHRA- ///1408/SC2SC8  UNOFF
2005/05/04 19:02:15 YVR SA 1900  18 FEW M36 OVC 10SHRA- 151/13.8/10.4/1409/SC2SC8  UNOFF
2005/05/04 19:56:55 YVR SP 1954  14 FEW M30 OVC 21/2SHRA-FG ///1106/SC3SC7  UNOFF
2005/05/04 20:04:05 YVR SA 2000  13 FEW M31 OVC 2SHRA-FG 153/12.9/11.8/1006/SC3SC7  UNOFF
